name,general,entity_type,figure_type,occupation,personality,size,height,life,move,range,attack,defense,ability_1_title,ability_1_desc,ability_2_title,ability_2_desc,ability_3_title,ability_3_desc,ability_4_title,ability_4_desc,points,source_file
10th Regiment of Foot,Einar,Human,Common Squad,Soldier,Disciplined,Medium,5,1,5,5,2,2,Wait Then Fire,"If none of the 10th Regiment of Foot move this turn, add 1 die to their attack.",Melee Defense 1,"When rolling defense dice against a melee attack from an adjacent figure, a Soldier in the 10th Regiment of Foot adds 1 to his defense dice.",Bayonet Attack 1,"When rolling attack dice against an adjacent figure, a Soldier in the 10th Regiment of Foot adds 1 to his attack dice. A Soldier in the 10th Regiment of Foot can only use Bayonet Attack if he moved at least one space this turn.",,,75,10th-regiment-of-foot.png
4th Massachusetts Line,Jandar,Human,Common Squad,Soldiers,Valiant,Medium,5,1,5,6,5,2,Wait Then Fire,"If none of the 4th Massachusetts Line move this turn, add 1 die to their attack.",Valiant Army Defense Bonus,Each Jandar army control has a valiant defense bonus. Each soldier in the 4th Massachusetts Line receives 1 additional defense die.,,,,,70,4th-massachusetts-line.png
Abomination,,Human,Unique Hero,Creature,Ferocious,Medium,6,8,5,1,7,6,Super Leap,"Instead of his normal move, Abomination may Super Leap. Super Leap is a move of 10. When counting spaces for Abomination's Super Leap, ignore elevations. Abomination may leap over water without stopping, leap over figures without becoming engaged, and leap over obstacles such as ramps. Abomination may not leap more than 50 spaces up or down in a single leap. If Abomination is engaged when he starts to leap, he will take any leaving engagement attacks. Abomination rolls a less attack dice on any turn that he chooses to Super Leap.",Stomp Special Attack,Range 1. Attack 3. Any figure adjacent to Abomination is affected by the Stomp Special Attack. Roll 3 attack dice once for all affected figures. Abomination may not use Stomp Special Attack on the same turn he uses Super Leap.,,,,,320,abomination.png
Acolarh,Ullar,Elf,Unique Hero,Wizard,Valiant,Medium,5,5,5,1,3,2,Leaf of the Home Tree Aura,"When any Elf you control within 8 clear sight spaces of Acolarh receives enough wounds to be destroyed, you may roll 10 Ullar Valkyrie dice before removing the figure. If you roll at least 3 Ullar symbols, ignore any wounds that figure just received. Acolarh's Leaf of the Home Tree Aura does not affect Acolarh.",Ullar's Amulet,All friendly figures who follow Ullar and start their turn adjacent to Acolarh may move 2 additional spaces.,,,,,110,acolarh-prototype.png
Acolarh,Ullar,Elf,Unique Hero,Wizard,Valiant,Medium,5,5,5,1,3,2,Leaf of the Home Tree Aura,"When any Elf you control within 8 clear sight spaces of Acolarh receives enough wounds to be destroyed, you may roll 10 Ullar Valkyrie dice before removing the figure. If you roll at least 3 Ullar symbols, ignore any wounds that figure just received. Acolarh's Leaf of the Home Tree Aura does not affect Acolarh.",Ullar's Amulet,All friendly figures who follow Ullar and start their turn adjacent to Acolarh may move 2 additional spaces.,,,,,110,acolarh.png
Knight Primus Adelbern,Jandar,Ursine,Unique Hero,Champion,Wild,Large,6,8,6,1,5,3,Crushing Blow,"After moving and before attacking, you may inflict one wound on a Small or Medium Squad figure or a Small or Medium Common Hero adjacent to Knight Primus Adelbern.",,,,,,,150,adelbern-master-png.png
Admiral EJ-1M,Vydar,Soulborg,Unique Hero,Admiral,Menacing,Large,7,3,5,1,4,6,Admiral's Orders,"After rolling for Initiative, you may move any Order Markers from this card onto any of your Pirate or Captain Army Cards.",Boarding Party Special Attack,"Range 5. Attack 2 + Special. You may attack up to 4 times with Boarding Party Special Attack. Roll one additional attack die when attacking a figure engaged with a Pirate or Captain you control. After each attack, if that was the first time you attacked the defending figure this turn, you may move one Pirate or Captain figure you control up to 4 spaces. You may not move the same figure more than once in a turn using Boarding Party Special Attack.",,,,,170,admiral-ej-1m.png
Agent Carr,Vydar,Human,Unique Hero,Agent,Tricky,Large,6,5,6,6,2,4,Crippling Glance 15,"Before moving normally, you may choose a figure within 3 clear sight spaces of Agent Carr. Roll the 20-sided die. If you roll a 15 or higher, remove 1 unrevealed Order Marker at random from the chosen figure's Army Card.",Sword of Reckoning 4,Add 4 to Agent Carr's Attack Value when attacking an adjacent figure.,Disengage,Agent Carr is never attacked when leaving an engagement.,,,130,agent-carr-aoa-master-png.png
Agent Carr,Jandar,Human,Unique Hero,Agent,Tricky,Medium,5,4,4,6,2,4,Ghost Walk,Agent Carr can move through all figures.,Sword of Reckoning 4,"If Agent Carr is attacking an adjacent figure, add 4 to Agent Carr's attack.",Disengage,Agent Carr can never be blocked during an engagement.,,,100,agent-carr.png
Agent Skahen,Vydar,Human,Unique Hero,Agent,Tricky,Medium,4,3,6,7,3,3,Double Attack,"When Agent Skahen attacks, she may attack one additional time.",Cover Fire,"When attacking an opponent's figure, if Agent Skahen inflicts one or more wounds, you may move one Tricky figure you control whose Wydar and is within 8 clear sight spaces of Agent Skahen up to 4 spaces. You cannot use Cover Fire to move Agent Skahen.",Stealth Dodge,"When Agent Skahen rolls defense dice against an attacking figure who is not adjacent, one shield will block all damage.",,,120,agent-skahen.png
